34.287833,108.942286,-1
34.238614,108.952168,1
34.284417,108.985052,-1
34.279436,108.978214,1
34.267253,108.983632,-1
34.291912,108.97808,1
34.264805,109.006826,-1
34.24625,108.948176,1
34.272215,108.969071,-1
34.27686,108.917006,1
34.283714,108.943453,-1
34.290304,108.950885,1
34.245434,108.952458,-1
34.262244,108.937814,1
34.293689,108.938101,-1
34.294082,108.971923,1
34.271376,108.928049,-1
34.294639,108.931591,1
34.286224,108.926642,-1
34.271599,108.934263,1
34.284683,108.966882,-1
34.265713,108.944645,1
34.271149,108.957914,-1
34.302163,108.94226,1
34.28721,108.964442,-1
34.2523,108.956317,1
34.289733,108.942386,-1
34.291723,108.989971,1
34.270321,108.974855,-1
34.263895,108.972846,1
34.257954,108.942564,-1
34.292963,108.942376,1
34.293918,108.942205,-1
34.286742,108.928777,1
34.260899,108.95164,-1
34.281171,109.01803,1
34.294567,108.933238,-1
34.294209,108.939321,1
34.269664,108.946439,-1
34.302688,108.943349,1
34.294119,108.936211,-1
34.257634,108.946274,1
34.261518,108.966689,-1
34.263234,108.963778,1
34.260654,108.960356,-1
34.282027,108.959744,1
34.294808,108.950621,-1
34.281639,108.930437,1
34.271532,108.969135,-1
34.262822,108.970736,1
34.265715,108.970296,-1
34.305547,108.92414,1
34.271199,108.970232,-1
34.290012,108.975043,1
34.281689,108.937537,-1
34.281654,108.941603,1
34.286183,108.968353,-1
34.281694,108.924282,1
34.275039,108.936523,-1
34.301748,108.950895,1
34.266094,108.969426,-1
34.252,108.954717,1
34.264487,108.990493,-1
34.268704,108.939748,1
34.271749,108.957754,-1
34.262112,108.929584,1
34.256792,108.934632,-1
34.302879,108.980761,1
34.271006,108.928599,-1
34.27961,108.923159,1
34.232112,108.929584,-1
34.261944,108.942154,1
34.263494,108.942824,-1
34.273494,108.971246,1
34.262326,108.945553,-1
34.274319,108.935176,1
34.268491,108.977465,-1
34.281979,108.953028,1
34.257234,108.942054,-1
34.269696,108.942522,1
34.257149,108.938114,-1
34.285359,108.935347,1
34.294433,108.942486,-1
34.300994,108.942662,1
34.301077,108.966453,-1
34.271579,108.955834,1
34.24699,109.004406,-1
34.265494,108.942004,1
34.265393,108.949505,-1
34.275335,108.926565,1
34.265458,108.951099,-1
34.283887,108.984868,1
34.265859,108.95583,-1
34.300575,108.91169,1
34.266262,108.939202,-1
34.268599,108.935633,1
34.271179,108.936023,-1
34.275124,108.960379,1
34.270831,108.979115,-1
34.311314,108.949198,1
34.291138,108.939121,-1
34.25629,108.958527,1
34.234558,108.941594,-1
34.268544,108.942359,1
34.266164,108.944584,-1
34.271579,108.955834,1
34.293599,108.934411,-1
34.298194,108.941808,1
34.260694,108.949674,-1
34.25646,108.958697,1
